timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676755329683,724,NikonUKHomepage-1,200,OK,Nion UK run-3 1-15,text,true,,118521,119,20,20,https://www.nikon.co.uk/en_GB/,520,0,0
1676755327537,2872,Nikon Z-30,200,OK,Nion UK run-3 1-9,text,true,,186121,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,236,0,0
1676755327537,236,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-9,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,236,0,0
1676755327774,2635,Nikon Z-30-1,200,OK,Nion UK run-3 1-9,text,true,,185868,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,2412,0,0
1676755321374,9157,Nikon Z-30,200,OK,Nion UK run-3 1-1,text,true,,186167,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,238,0,0
1676755321374,238,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-1,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,238,0,0
1676755321612,8919,Nikon Z-30-1,200,OK,Nion UK run-3 1-1,text,true,,185914,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,8379,0,0
1676755325181,5622,Nikon Z-30,200,OK,Nion UK run-3 1-4,text,true,,186128,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,251,0,0
1676755325181,251,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-4,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,251,0,0
1676755325432,5371,Nikon Z-30-1,200,OK,Nion UK run-3 1-4,text,true,,185875,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,5070,0,0
1676755325103,5734,Nikon Z-30,200,OK,Nion UK run-3 1-19,text,true,,186072,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,239,0,0
1676755325103,239,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-19,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,239,0,0
1676755325342,5495,Nikon Z-30-1,200,OK,Nion UK run-3 1-19,text,true,,185819,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,5262,0,0
1676755330008,830,NikonUKHomepage,200,OK,Nion UK run-3 1-5,text,true,,118869,238,20,20,https://www.nikon.co.uk/en_GB/,253,0,0
1676755330008,253,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-5,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,253,0,0
1676755330262,576,NikonUKHomepage-1,200,OK,Nion UK run-3 1-5,text,true,,118637,119,20,20,https://www.nikon.co.uk/en_GB/,536,0,0
1676755328481,2501,Nikon Z-30,200,OK,Nion UK run-3 1-14,text,true,,186045,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,257,0,0
1676755328481,257,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-14,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,257,0,0
1676755328739,2243,Nikon Z-30-1,200,OK,Nion UK run-3 1-14,text,true,,185792,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,2200,0,0
1676755328588,2645,Nikon Z-30,200,OK,Nion UK run-3 1-8,text,true,,186136,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,235,0,0
1676755328588,235,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-8,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,235,0,0
1676755328823,2410,Nikon Z-30-1,200,OK,Nion UK run-3 1-8,text,true,,185883,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,2223,0,0
1676755327588,3674,Nikon Z-30,200,OK,Nion UK run-3 1-7,text,true,,186240,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,247,0,0
1676755327588,247,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-7,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,247,0,0
1676755327834,3428,Nikon Z-30-1,200,OK,Nion UK run-3 1-7,text,true,,185987,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,3255,0,0
1676755330532,753,NikonUKHomepage,200,OK,Nion UK run-3 1-1,text,true,,118831,238,20,20,https://www.nikon.co.uk/en_GB/,255,0,0
1676755330532,255,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-1,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,255,0,0
1676755330788,497,NikonUKHomepage-1,200,OK,Nion UK run-3 1-1,text,true,,118599,119,20,20,https://www.nikon.co.uk/en_GB/,447,0,0
1676755330195,1184,NikonUKHomepage,200,OK,Nion UK run-3 1-11,text,true,,118899,238,20,20,https://www.nikon.co.uk/en_GB/,244,0,0
1676755330195,244,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-11,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,244,0,0
1676755330439,940,NikonUKHomepage-1,200,OK,Nion UK run-3 1-11,text,true,,118667,119,20,20,https://www.nikon.co.uk/en_GB/,673,0,0
1676755330074,1372,NikonUKHomepage,200,OK,Nion UK run-3 1-2,text,true,,118906,238,20,20,https://www.nikon.co.uk/en_GB/,257,0,0
1676755330074,257,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-2,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,257,0,0
1676755330331,1115,NikonUKHomepage-1,200,OK,Nion UK run-3 1-2,text,true,,118674,119,20,20,https://www.nikon.co.uk/en_GB/,677,0,0
1676755329042,2413,NikonUKHomepage,200,OK,Nion UK run-3 1-16,text,true,,118928,238,20,20,https://www.nikon.co.uk/en_GB/,238,0,0
1676755329042,238,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-16,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,238,0,0
1676755329280,2175,NikonUKHomepage-1,200,OK,Nion UK run-3 1-16,text,true,,118696,119,20,20,https://www.nikon.co.uk/en_GB/,2065,0,0
1676755330803,855,NikonUKHomepage,200,OK,Nion UK run-3 1-4,text,true,,118840,238,20,20,https://www.nikon.co.uk/en_GB/,241,0,0
1676755330803,241,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-4,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,241,0,0
1676755331045,613,NikonUKHomepage-1,200,OK,Nion UK run-3 1-4,text,true,,118608,119,20,20,https://www.nikon.co.uk/en_GB/,546,0,0
1676755328932,2815,Nikon Z-30,200,OK,Nion UK run-3 1-12,text,true,,186135,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,236,0,0
1676755328932,236,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-12,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,236,0,0
1676755329169,2578,Nikon Z-30-1,200,OK,Nion UK run-3 1-12,text,true,,185882,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,2224,0,0
1676755330837,1316,NikonUKHomepage,200,OK,Nion UK run-3 1-19,text,true,,118942,238,20,20,https://www.nikon.co.uk/en_GB/,236,0,0
1676755330837,236,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-19,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,236,0,0
1676755331073,1080,NikonUKHomepage-1,200,OK,Nion UK run-3 1-19,text,true,,118710,119,20,20,https://www.nikon.co.uk/en_GB/,611,0,0
1676755331234,990,NikonUKHomepage,200,OK,Nion UK run-3 1-8,text,true,,118884,238,20,20,https://www.nikon.co.uk/en_GB/,238,0,0
1676755331234,238,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-8,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,238,0,0
1676755331472,752,NikonUKHomepage-1,200,OK,Nion UK run-3 1-8,text,true,,118652,119,20,20,https://www.nikon.co.uk/en_GB/,647,0,0
1676755329811,2487,NikonUKHomepage,200,OK,Nion UK run-3 1-3,text,true,,118909,238,20,20,https://www.nikon.co.uk/en_GB/,259,0,0
1676755329811,259,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-3,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,259,0,0
1676755330071,2227,NikonUKHomepage-1,200,OK,Nion UK run-3 1-3,text,true,,118677,119,20,20,https://www.nikon.co.uk/en_GB/,2142,0,0
1676755331263,1159,NikonUKHomepage,200,OK,Nion UK run-3 1-7,text,true,,118909,238,20,20,https://www.nikon.co.uk/en_GB/,235,0,0
1676755331263,235,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-7,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,235,0,0
1676755331498,924,NikonUKHomepage-1,200,OK,Nion UK run-3 1-7,text,true,,118677,119,20,20,https://www.nikon.co.uk/en_GB/,576,0,0
1676755329387,3120,NikonUKHomepage,200,OK,Nion UK run-3 1-6,text,true,,118894,238,20,20,https://www.nikon.co.uk/en_GB/,253,0,0
1676755329387,253,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-6,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,253,0,0
1676755329641,2866,NikonUKHomepage-1,200,OK,Nion UK run-3 1-6,text,true,,118662,119,20,20,https://www.nikon.co.uk/en_GB/,2759,0,0
1676755329448,3151,NikonUKHomepage,200,OK,Nion UK run-3 1-18,text,true,,118950,238,20,20,https://www.nikon.co.uk/en_GB/,241,0,0
1676755329448,241,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-18,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,241,0,0
1676755329689,2910,NikonUKHomepage-1,200,OK,Nion UK run-3 1-18,text,true,,118718,119,20,20,https://www.nikon.co.uk/en_GB/,2802,0,0
1676755329886,2754,NikonUKHomepage,200,OK,Nion UK run-3 1-20,text,true,,118908,238,20,20,https://www.nikon.co.uk/en_GB/,251,0,0
1676755329886,251,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-20,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,251,0,0
1676755330138,2502,NikonUKHomepage-1,200,OK,Nion UK run-3 1-20,text,true,,118676,119,20,20,https://www.nikon.co.uk/en_GB/,2043,0,0
1676755330408,2907,NikonUKHomepage,200,OK,Nion UK run-3 1-9,text,true,,118866,238,20,20,https://www.nikon.co.uk/en_GB/,251,0,0
1676755330408,251,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-9,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,251,0,0
1676755330659,2656,NikonUKHomepage-1,200,OK,Nion UK run-3 1-9,text,true,,118634,119,20,20,https://www.nikon.co.uk/en_GB/,2617,0,0
1676755328661,4755,Nikon Z-30,200,OK,Nion UK run-3 1-13,text,true,,186174,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,254,0,0
